product,N2BvsE2B,visits,Category,Device,CTA,Date,Month,week_year,traffic,Product page
Mortgage simplifier,E2B,48,Mortgages,Native_app,4,2022-11-13,November,46_2022,NA,NA
Mortgage simplifier,E2B,402,Mortgages,Native_app,42,2022-11-20,November,47_2022,NA,NA
Mortgage simplifier,E2B,472,Mortgages,Native_app,35,2022-11-27,November,48_2022,NA,NA
Mortgage simplifier,E2B,488,Mortgages,Native_app,42,2022-12-04,December,49_2022,NA,NA
Mortgage simplifier,E2B,364,Mortgages,Native_app,42,2022-12-11,December,50_2022,NA,NA
Mortgage simplifier,E2B,375,Mortgages,Native_app,26,2022-12-18,December,51_2022,NA,NA
Mortgage simplifier,E2B,395,Mortgages,Native_app,40,2022-12-25,December,52_2022,NA,NA
Mortgage simplifier,E2B,593,Mortgages,Native_app,27,2023-01-01,January,1_2023,NA,NA
Mortgage simplifier,E2B,672,Mortgages,Native_app,67,2023-01-08,January,2_2023,NA,NA
Mortgage simplifier,E2B,657,Mortgages,Native_app,55,2023-01-15,January,3_2023,NA,NA
Mortgage simplifier,E2B,588,Mortgages,Native_app,39,2023-01-22,January,4_2023,NA,NA
Mortgage simplifier,E2B,782,Mortgages,Native_app,48,2023-01-29,January,5_2023,NA,NA
Mortgage simplifier,E2B,815,Mortgages,Native_app,66,2023-02-05,February,6_2023,NA,NA
Mortgage simplifier,E2B,443,Mortgages,Native_app,35,2023-02-12,February,7_2023,NA,NA
Fixed rate,E2B,40,Mortgages,Native_app,3,2022-11-13,November,46_2022,NA,NA
Fixed rate,E2B,314,Mortgages,Native_app,22,2022-11-20,November,47_2022,NA,NA
Fixed rate,E2B,340,Mortgages,Native_app,22,2022-11-27,November,48_2022,NA,NA
Fixed rate,E2B,501,Mortgages,Native_app,34,2022-12-04,December,49_2022,NA,NA
Fixed rate,E2B,331,Mortgages,Native_app,25,2022-12-11,December,50_2022,NA,NA
Fixed rate,E2B,309,Mortgages,Native_app,16,2022-12-18,December,51_2022,NA,NA
Fixed rate,E2B,330,Mortgages,Native_app,15,2022-12-25,December,52_2022,NA,NA
Fixed rate,E2B,498,Mortgages,Native_app,30,2023-01-01,January,1_2023,NA,NA
Fixed rate,E2B,471,Mortgages,Native_app,26,2023-01-08,January,2_2023,NA,NA
Fixed rate,E2B,481,Mortgages,Native_app,19,2023-01-15,January,3_2023,NA,NA
Fixed rate,E2B,435,Mortgages,Native_app,16,2023-01-22,January,4_2023,NA,NA
Fixed rate,E2B,639,Mortgages,Native_app,37,2023-01-29,January,5_2023,NA,NA
Fixed rate,E2B,728,Mortgages,Native_app,43,2023-02-05,February,6_2023,NA,NA
Fixed rate,E2B,372,Mortgages,Native_app,30,2023-02-12,February,7_2023,NA,NA
all,N2BandE2B,NA,NA,web,NA,NA,November,46_2022,SEO,203
all,N2BandE2B,NA,NA,web,NA,NA,November,47_2022,SEO,2268
all,N2BandE2B,NA,NA,web,NA,NA,November,48_2022,SEO,2138
all,N2BandE2B,NA,NA,web,NA,NA,December,49_2022,SEO,3178
all,N2BandE2B,NA,NA,web,NA,NA,December,50_2022,SEO,1957
all,N2BandE2B,NA,NA,web,NA,NA,December,51_2022,SEO,1542
all,N2BandE2B,NA,NA,web,NA,NA,December,52_2022,SEO,1218
all,N2BandE2B,NA,NA,web,NA,NA,January,1_2023,SEO,2399
all,N2BandE2B,NA,NA,web,NA,NA,January,2_2023,SEO,3004
all,N2BandE2B,NA,NA,web,NA,NA,January,3_2023,SEO,2909
all,N2BandE2B,NA,NA,web,NA,NA,January,4_2023,SEO,2586
all,N2BandE2B,NA,NA,web,NA,NA,January,5_2023,SEO,3275
all,N2BandE2B,NA,NA,web,NA,NA,February,6_2023,SEO,4296
all,N2BandE2B,NA,NA,web,NA,NA,February,7_2023,SEO,2201
all,N2BandE2B,NA,NA,web,NA,NA,November,46_2022,SEA,22
all,N2BandE2B,NA,NA,web,NA,NA,November,47_2022,SEA,151
all,N2BandE2B,NA,NA,web,NA,NA,November,48_2022,SEA,92
all,N2BandE2B,NA,NA,web,NA,NA,December,49_2022,SEA,273
all,N2BandE2B,NA,NA,web,NA,NA,December,50_2022,SEA,219
all,N2BandE2B,NA,NA,web,NA,NA,December,51_2022,SEA,221
all,N2BandE2B,NA,NA,web,NA,NA,December,52_2022,SEA,196
all,N2BandE2B,NA,NA,web,NA,NA,January,1_2023,SEA,141
all,N2BandE2B,NA,NA,web,NA,NA,January,2_2023,SEA,92
all,N2BandE2B,NA,NA,web,NA,NA,January,3_2023,SEA,67
all,N2BandE2B,NA,NA,web,NA,NA,January,4_2023,SEA,52
all,N2BandE2B,NA,NA,web,NA,NA,January,5_2023,SEA,104
