month,week_nr,year,week,Product page,Start application,Finish application,Category,con_1,con_2,target_PP,target_SF,target_FF,Date,MonthvsWeek,Visitor or Client
May,22,2022,22,1875,78,106,Mortgages,4,136,2306.25,133.38,181.26,2022-05-28,Week,total
June,23,2022,23,10298,189,190,Mortgages,2,101,12666.539999999999,323.19,324.9,2022-06-04,Week,total
June,24,2022,24,6896,112,160,Mortgages,2,143,8482.08,191.51999999999998,273.6,2022-06-11,Week,total
June,25,2022,25,6670,163,227,Mortgages,2,139,8204.1,278.73,388.17,2022-06-18,Week,total
July,26,2022,26,3098,69,102,Mortgages,2,148,3810.54,117.99,174.42,2022-06-25,Week,total
June,26,2022,26,4118,98,138,Mortgages,2,141,5065.14,167.57999999999998,235.98,2022-06-25,Week,total
July,27,2022,27,10317,203,261,Mortgages,2,129,12689.91,347.13,446.31,2022-07-02,Week,total
July,28,2022,28,6894,166,220,Mortgages,2,133,8479.619999999999,283.86,376.2,2022-07-09,Week,total
July,29,2022,29,7095,208,218,Mortgages,3,105,8726.85,355.68,372.78,2022-07-16,Week,total
July,30,2022,30,8245,246,361,Mortgages,3,147,10141.35,420.65999999999997,617.31,2022-07-23,Week,total
August,31,2022,31,10710,318,443,Mortgages,3,139,13173.3,543.78,757.53,2022-07-30,Week,total
August,32,2022,32,7292,170,285,Mortgages,2,168,8969.16,290.7,487.34999999999997,2022-08-06,Week,total
August,33,2022,33,6372,184,253,Mortgages,3,138,7837.5599999999995,314.64,432.63,2022-08-13,Week,total
August,34,2022,34,7073,203,336,Mortgages,3,166,8699.789999999999,347.13,574.56,2022-08-20,Week,total
August,35,2022,35,3306,106,135,Mortgages,3,127,4066.38,181.26,230.85,2022-08-27,Week,total
September,35,2022,35,3115,118,139,Mortgages,4,118,3831.45,201.78,237.69,2022-08-27,Week,total
September,36,2022,36,8004,219,327,Mortgages,3,149,9844.92,374.49,559.17,2022-09-03,Week,total
September,37,2022,37,6761,190,248,Mortgages,3,131,8316.03,324.9,424.08,2022-09-10,Week,total
September,38,2022,38,6191,171,238,Mortgages,3,139,7614.93,292.40999999999997,406.98,2022-09-17,Week,total
October,39,2022,39,1420,41,69,Mortgages,3,168,1746.6,70.11,117.99,2022-09-24,Week,total
September,39,2022,39,5690,151,201,Mortgages,3,133,6998.7,258.21,343.71,2022-09-24,Week,total
October,40,2022,40,8663,224,296,Mortgages,3,132,10655.49,383.03999999999996,506.15999999999997,2022-10-01,Week,total
October,41,2022,41,7075,183,259,Mortgages,3,142,8702.25,312.93,442.89,2022-10-08,Week,total
October,42,2022,42,6743,215,300,Mortgages,3,140,8293.89,367.65,513,2022-10-15,Week,total
October,43,2022,43,6775,173,239,Mortgages,3,138,8333.25,295.83,408.69,2022-10-22,Week,total
November,44,2022,44,6970,164,247,Mortgages,2,151,8573.1,280.44,422.37,2022-10-29,Week,total
October,44,2022,44,1037,27,40,Mortgages,3,148,1275.51,46.17,68.4,2022-10-29,Week,total
November,45,2022,45,6399,177,235,Mortgages,3,133,7870.7699999999995,302.67,401.84999999999997,2022-11-05,Week,total
November,46,2022,46,6012,181,254,Mortgages,3,140,7394.76,309.51,434.34,2022-11-12,Week,total
November,47,2022,47,5747,179,236,Mortgages,3,132,7068.8099999999995,306.09,403.56,2022-11-19,Week,total
December,48,2022,48,2508,89,120,Mortgages,4,135,3084.84,152.19,205.2,2022-11-26,Week,total
November,48,2022,48,2853,77,126,Mortgages,3,164,3509.19,131.67,215.46,2022-11-26,Week,total
December,49,2022,49,7617,272,285,Mortgages,4,105,9368.91,465.12,487.34999999999997,2022-12-03,Week,total
December,50,2022,50,5213,186,205,Mortgages,4,110.00000000000001,6411.99,318.06,350.55,2022-12-10,Week,total
December,51,2022,51,4117,173,171,Mortgages,4,99,5063.91,295.83,292.40999999999997,2022-12-17,Week,total
December,52,2022,52,3240,103,151,Mortgages,3,147,3985.2,176.13,258.21,2022-12-24,Week,total
January,00,2023,0,462,10,13,Mortgages,2,130,NA,NA,NA,2022-12-25,Week,total
January,01,2023,1,6105,206,282,Mortgages,3,137,NA,NA,NA,2023-01-01,Week,total
January,02,2023,2,7093,220,294,Mortgages,3,134,NA,NA,NA,2023-01-08,Week,total
January,03,2023,3,6908,173,292,Mortgages,3,169,NA,NA,NA,2023-01-15,Week,total
January,04,2023,4,6078,158,286,Mortgages,3,181,NA,NA,NA,2023-01-22,Week,total
January,05,2023,5,2626,76,117,Mortgages,3,154,NA,NA,NA,2023-01-29,Week,total
February,05,2022,5,156,0,0,Mortgages,0,NA,191.88,0,0,2022-01-29,Week,::unspecified::
February,05,2022,5,549,0,259,Mortgages,0,Inf,675.27,0,442.89,2022-01-29,Week,client
February,05,2022,5,6607,235,85,Mortgages,4,36,8126.61,401.84999999999997,145.35,2022-01-29,Week,visitor
February,06,2022,6,139,0,0,Mortgages,0,NA,170.97,0,0,2022-02-05,Week,::unspecified::
February,06,2022,6,607,0,301,Mortgages,0,Inf,746.61,0,514.71,2022-02-05,Week,client
February,06,2022,6,6706,328,89,Mortgages,5,27,8248.38,560.88,152.19,2022-02-05,Week,visitor
February,07,2022,7,176,0,0,Mortgages,0,NA,216.48,0,0,2022-02-12,Week,::unspecified::
February,07,2022,7,586,0,262,Mortgages,0,Inf,720.78,0,448.02,2022-02-12,Week,client
February,07,2022,7,6543,287,85,Mortgages,4,30,8047.89,490.77,145.35,2022-02-12,Week,visitor
February,08,2022,8,207,0,0,Mortgages,0,NA,254.60999999999999,0,0,2022-02-19,Week,::unspecified::
February,08,2022,8,590,0,270,Mortgages,0,Inf,725.7,0,461.7,2022-02-19,Week,client
February,08,2022,8,6222,243,83,Mortgages,4,34,7653.0599999999995,415.53,141.93,2022-02-19,Week,visitor
February,09,2022,9,32,0,0,Mortgages,0,NA,39.36,0,0,2022-02-26,Week,::unspecified::
February,09,2022,9,108,0,40,Mortgages,0,Inf,132.84,0,68.4,2022-02-26,Week,client
February,09,2022,9,910,35,23,Mortgages,4,66,1119.3,59.85,39.33,2022-02-26,Week,visitor
March,09,2022,9,165,0,0,Mortgages,0,NA,202.95,0,0,2022-02-26,Week,::unspecified::
March,09,2022,9,451,0,230,Mortgages,0,Inf,554.73,0,393.3,2022-02-26,Week,client
March,09,2022,9,4630,252,37,Mortgages,5,15,5694.9,430.92,63.269999999999996,2022-02-26,Week,visitor
March,10,2022,10,180,0,0,Mortgages,0,NA,221.4,0,0,2022-03-05,Week,::unspecified::
March,10,2022,10,494,0,219,Mortgages,0,Inf,607.62,0,374.49,2022-03-05,Week,client
March,10,2022,10,5281,572,62,Mortgages,11,11,6495.63,978.12,106.02,2022-03-05,Week,visitor
March,11,2022,11,197,0,0,Mortgages,0,NA,242.31,0,0,2022-03-12,Week,::unspecified::
March,11,2022,11,652,0,311,Mortgages,0,Inf,801.96,0,531.81,2022-03-12,Week,client
March,11,2022,11,6371,500,46,Mortgages,8,9,7836.33,855,78.66,2022-03-12,Week,visitor
March,12,2022,12,215,0,0,Mortgages,0,NA,264.45,0,0,2022-03-19,Week,::unspecified::
March,12,2022,12,565,0,248,Mortgages,0,Inf,694.95,0,424.08,2022-03-19,Week,client
March,12,2022,12,5786,309,73,Mortgages,5,24,7116.78,528.39,124.83,2022-03-19,Week,visitor
April,13,2022,13,59,0,0,Mortgages,0,NA,72.57,0,0,2022-03-26,Week,::unspecified::
April,13,2022,13,163,0,70,Mortgages,0,Inf,200.49,0,119.7,2022-03-26,Week,client
April,13,2022,13,2004,57,17,Mortgages,3,30,2464.92,97.47,29.07,2022-03-26,Week,visitor
March,13,2022,13,105,0,0,Mortgages,0,NA,129.15,0,0,2022-03-26,Week,::unspecified::
March,13,2022,13,319,0,140,Mortgages,0,Inf,392.37,0,239.4,2022-03-26,Week,client
March,13,2022,13,3865,135,50,Mortgages,3,37,4753.95,230.85,85.5,2022-03-26,Week,visitor
April,14,2022,14,138,0,0,Mortgages,0,NA,169.74,0,0,2022-04-02,Week,::unspecified::
April,14,2022,14,419,0,183,Mortgages,0,Inf,515.37,0,312.93,2022-04-02,Week,client
April,14,2022,14,6340,172,46,Mortgages,3,27,7798.2,294.12,78.66,2022-04-02,Week,visitor
April,15,2022,15,134,0,0,Mortgages,0,NA,164.82,0,0,2022-04-09,Week,::unspecified::
April,15,2022,15,387,0,146,Mortgages,0,Inf,476.01,0,249.66,2022-04-09,Week,client
April,15,2022,15,4838,185,56,Mortgages,4,30,5950.74,316.34999999999997,95.75999999999999,2022-04-09,Week,visitor
April,16,2022,16,163,0,0,Mortgages,0,NA,200.49,0,0,2022-04-16,Week,::unspecified::
April,16,2022,16,442,0,169,Mortgages,0,Inf,543.66,0,288.99,2022-04-16,Week,client
April,16,2022,16,5129,178,68,Mortgages,3,38,6308.67,304.38,116.28,2022-04-16,Week,visitor
April,17,2022,17,144,0,0,Mortgages,0,NA,177.12,0,0,2022-04-23,Week,::unspecified::
April,17,2022,17,434,0,175,Mortgages,0,Inf,533.8199999999999,0,299.25,2022-04-23,Week,client
April,17,2022,17,6644,191,53,Mortgages,3,28.000000000000004,8172.12,326.61,90.63,2022-04-23,Week,visitor
May,17,2022,17,20,0,0,Mortgages,0,NA,24.6,0,0,2022-04-23,Week,::unspecified::
May,17,2022,17,68,0,31,Mortgages,0,Inf,83.64,0,53.01,2022-04-23,Week,client
May,17,2022,17,745,23,13,Mortgages,3,56.99999999999999,916.35,39.33,22.23,2022-04-23,Week,visitor
May,18,2022,18,198,0,0,Mortgages,0,NA,243.54,0,0,2022-04-30,Week,::unspecified::
May,18,2022,18,613,0,165,Mortgages,0,Inf,753.99,0,282.15,2022-04-30,Week,client
May,18,2022,18,11758,308,74,Mortgages,3,24,14462.34,526.68,126.53999999999999,2022-04-30,Week,visitor
May,19,2022,19,148,0,0,Mortgages,0,NA,182.04,0,0,2022-05-07,Week,::unspecified::
May,19,2022,19,460,0,136,Mortgages,0,Inf,565.8,0,232.56,2022-05-07,Week,client
May,19,2022,19,5989,174,55,Mortgages,3,32,7366.47,297.54,94.05,2022-05-07,Week,visitor
May,20,2022,20,137,0,0,Mortgages,0,NA,168.51,0,0,2022-05-14,Week,::unspecified::
May,20,2022,20,414,0,165,Mortgages,0,Inf,509.21999999999997,0,282.15,2022-05-14,Week,client
May,20,2022,20,5324,152,46,Mortgages,3,30,6548.5199999999995,259.92,78.66,2022-05-14,Week,visitor
May,21,2022,21,130,0,0,Mortgages,0,NA,159.9,0,0,2022-05-21,Week,::unspecified::
May,21,2022,21,398,0,163,Mortgages,0,Inf,489.54,0,278.73,2022-05-21,Week,client
May,21,2022,21,0,0,0,Mortgages,NA,NA,0,0,0,2022-05-21,Week,None
May,21,2022,21,4877,147,48,Mortgages,3,33,5998.71,251.37,82.08,2022-05-21,Week,visitor
June,22,2022,22,95,0,0,Mortgages,0,NA,116.85,0,0,2022-05-28,Week,::unspecified::
June,22,2022,22,269,0,123,Mortgages,0,Inf,330.87,0,210.32999999999998,2022-05-28,Week,client
June,22,2022,22,3163,95,23,Mortgages,3,24,3890.49,162.45,39.33,2022-05-28,Week,visitor
May,22,2022,22,59,0,0,Mortgages,0,NA,72.57,0,0,2022-05-28,Week,::unspecified::
May,22,2022,22,145,0,74,Mortgages,0,Inf,178.35,0,126.53999999999999,2022-05-28,Week,client
May,22,2022,22,1671,78,32,Mortgages,5,41,2055.33,133.38,54.72,2022-05-28,Week,visitor
June,23,2022,23,177,0,0,Mortgages,0,NA,217.71,0,0,2022-06-04,Week,::unspecified::
June,23,2022,23,511,0,144,Mortgages,0,Inf,628.53,0,246.24,2022-06-04,Week,client
June,23,2022,23,9610,189,46,Mortgages,2,24,11820.3,323.19,78.66,2022-06-04,Week,visitor
June,24,2022,24,162,0,0,Mortgages,0,NA,199.26,0,0,2022-06-11,Week,::unspecified::
June,24,2022,24,440,0,125,Mortgages,0,Inf,541.2,0,213.75,2022-06-11,Week,client
June,24,2022,24,6294,112,35,Mortgages,2,31,7741.62,191.51999999999998,59.85,2022-06-11,Week,visitor
June,25,2022,25,181,0,0,Mortgages,0,NA,222.63,0,0,2022-06-18,Week,::unspecified::
June,25,2022,25,444,0,193,Mortgages,0,Inf,546.12,0,330.03,2022-06-18,Week,client
June,25,2022,25,6045,163,34,Mortgages,3,21,7435.3499999999995,278.73,58.14,2022-06-18,Week,visitor
July,26,2022,26,83,0,0,Mortgages,0,NA,102.09,0,0,2022-06-25,Week,::unspecified::
July,26,2022,26,208,0,89,Mortgages,0,Inf,255.84,0,152.19,2022-06-25,Week,client
July,26,2022,26,2807,69,13,Mortgages,2,19,3452.61,117.99,22.23,2022-06-25,Week,visitor
June,26,2022,26,109,0,0,Mortgages,0,NA,134.07,0,0,2022-06-25,Week,::unspecified::
June,26,2022,26,279,0,108,Mortgages,0,Inf,343.17,0,184.68,2022-06-25,Week,client
June,26,2022,26,3730,98,30,Mortgages,3,31,4587.9,167.57999999999998,51.3,2022-06-25,Week,visitor
July,27,2022,27,214,0,0,Mortgages,0,NA,263.21999999999997,0,0,2022-07-02,Week,::unspecified::
July,27,2022,27,585,0,213,Mortgages,0,Inf,719.55,0,364.23,2022-07-02,Week,client
July,27,2022,27,9518,203,48,Mortgages,2,24,11707.14,347.13,82.08,2022-07-02,Week,visitor
July,28,2022,28,160,0,0,Mortgages,0,NA,196.8,0,0,2022-07-09,Week,::unspecified::
July,28,2022,28,434,0,172,Mortgages,0,Inf,533.8199999999999,0,294.12,2022-07-09,Week,client
July,28,2022,28,6300,166,48,Mortgages,3,28.999999999999996,7749,283.86,82.08,2022-07-09,Week,visitor
July,29,2022,29,186,0,0,Mortgages,0,NA,228.78,0,0,2022-07-16,Week,::unspecified::
July,29,2022,29,465,0,174,Mortgages,0,Inf,571.95,0,297.54,2022-07-16,Week,client
July,29,2022,29,6444,208,44,Mortgages,3,21,7926.12,355.68,75.24,2022-07-16,Week,visitor
July,30,2022,30,332,0,0,Mortgages,0,NA,408.36,0,0,2022-07-23,Week,::unspecified::
July,30,2022,30,700,0,314,Mortgages,0,Inf,861,0,536.9399999999999,2022-07-23,Week,client
July,30,2022,30,7213,246,47,Mortgages,3,19,8871.99,420.65999999999997,80.37,2022-07-23,Week,visitor
August,31,2022,31,318,0,0,Mortgages,0,NA,391.14,0,0,2022-07-30,Week,::unspecified::
August,31,2022,31,740,0,361,Mortgages,0,Inf,910.1999999999999,0,617.31,2022-07-30,Week,client
August,31,2022,31,9652,318,82,Mortgages,3,26,11871.96,543.78,140.22,2022-07-30,Week,visitor
August,32,2022,32,191,0,0,Mortgages,0,NA,234.93,0,0,2022-08-06,Week,::unspecified::
August,32,2022,32,515,0,221,Mortgages,0,Inf,633.45,0,377.90999999999997,2022-08-06,Week,client
August,32,2022,32,6586,170,64,Mortgages,3,38,8100.78,290.7,109.44,2022-08-06,Week,visitor
August,33,2022,33,183,0,0,Mortgages,0,NA,225.09,0,0,2022-08-13,Week,::unspecified::
August,33,2022,33,465,0,207,Mortgages,0,Inf,571.95,0,353.96999999999997,2022-08-13,Week,client
August,33,2022,33,5724,184,46,Mortgages,3,25,7040.5199999999995,314.64,78.66,2022-08-13,Week,visitor
August,34,2022,34,247,0,0,Mortgages,0,NA,303.81,0,0,2022-08-20,Week,::unspecified::
August,34,2022,34,551,0,267,Mortgages,0,Inf,677.73,0,456.57,2022-08-20,Week,client
August,34,2022,34,6275,203,69,Mortgages,3,34,7718.25,347.13,117.99,2022-08-20,Week,visitor
August,35,2022,35,111,0,0,Mortgages,0,NA,136.53,0,0,2022-08-27,Week,::unspecified::
August,35,2022,35,268,0,107,Mortgages,0,Inf,329.64,0,182.97,2022-08-27,Week,client
August,35,2022,35,2927,106,28,Mortgages,4,26,3600.21,181.26,47.879999999999995,2022-08-27,Week,visitor
September,35,2022,35,89,0,0,Mortgages,0,NA,109.47,0,0,2022-08-27,Week,::unspecified::
September,35,2022,35,247,0,106,Mortgages,0,Inf,303.81,0,181.26,2022-08-27,Week,client
September,35,2022,35,2779,118,33,Mortgages,4,28.000000000000004,3418.17,201.78,56.43,2022-08-27,Week,visitor
September,36,2022,36,210,0,0,Mortgages,0,NA,258.3,0,0,2022-09-03,Week,::unspecified::
September,36,2022,36,547,0,270,Mortgages,0,Inf,672.81,0,461.7,2022-09-03,Week,client
September,36,2022,36,7247,219,57,Mortgages,3,26,8913.81,374.49,97.47,2022-09-03,Week,visitor
September,37,2022,37,164,0,0,Mortgages,0,NA,201.72,0,0,2022-09-10,Week,::unspecified::
September,37,2022,37,446,0,191,Mortgages,0,Inf,548.58,0,326.61,2022-09-10,Week,client
September,37,2022,37,6151,190,57,Mortgages,3,30,7565.73,324.9,97.47,2022-09-10,Week,visitor
September,38,2022,38,155,0,0,Mortgages,0,NA,190.65,0,0,2022-09-17,Week,::unspecified::
September,38,2022,38,455,0,202,Mortgages,0,Inf,559.65,0,345.42,2022-09-17,Week,client
September,38,2022,38,5581,171,36,Mortgages,3,21,6864.63,292.40999999999997,61.56,2022-09-17,Week,visitor
October,39,2022,39,40,0,0,Mortgages,0,NA,49.2,0,0,2022-09-24,Week,::unspecified::
October,39,2022,39,108,0,52,Mortgages,0,Inf,132.84,0,88.92,2022-09-24,Week,client
October,39,2022,39,1272,41,17,Mortgages,3,41,1564.56,70.11,29.07,2022-09-24,Week,visitor
September,39,2022,39,126,0,0,Mortgages,0,NA,154.98,0,0,2022-09-24,Week,::unspecified::
September,39,2022,39,370,0,152,Mortgages,0,Inf,455.09999999999997,0,259.92,2022-09-24,Week,client
September,39,2022,39,5194,151,49,Mortgages,3,32,6388.62,258.21,83.78999999999999,2022-09-24,Week,visitor
October,40,2022,40,232,0,0,Mortgages,0,NA,285.36,0,0,2022-10-01,Week,::unspecified::
October,40,2022,40,587,0,238,Mortgages,0,Inf,722.01,0,406.98,2022-10-01,Week,client
October,40,2022,40,7844,224,58,Mortgages,3,26,9648.119999999999,383.03999999999996,99.17999999999999,2022-10-01,Week,visitor
October,41,2022,41,162,0,0,Mortgages,0,NA,199.26,0,0,2022-10-08,Week,::unspecified::
October,41,2022,41,483,0,199,Mortgages,0,Inf,594.09,0,340.29,2022-10-08,Week,client
October,41,2022,41,6430,183,60,Mortgages,3,33,7908.9,312.93,102.6,2022-10-08,Week,visitor
October,42,2022,42,184,0,0,Mortgages,0,NA,226.32,0,0,2022-10-15,Week,::unspecified::
October,42,2022,42,517,0,247,Mortgages,0,Inf,635.91,0,422.37,2022-10-15,Week,client
October,42,2022,42,6042,215,53,Mortgages,4,25,7431.66,367.65,90.63,2022-10-15,Week,visitor
October,43,2022,43,167,0,0,Mortgages,0,NA,205.41,0,0,2022-10-22,Week,::unspecified::
October,43,2022,43,492,0,200,Mortgages,0,Inf,605.16,0,342,2022-10-22,Week,client
October,43,2022,43,6116,173,39,Mortgages,3,23,7522.68,295.83,66.69,2022-10-22,Week,visitor
November,44,2022,44,151,0,0,Mortgages,0,NA,185.73,0,0,2022-10-29,Week,::unspecified::
November,44,2022,44,501,0,212,Mortgages,0,Inf,616.23,0,362.52,2022-10-29,Week,client
November,44,2022,44,0,0,0,Mortgages,NA,NA,0,0,0,2022-10-29,Week,None
November,44,2022,44,6318,164,35,Mortgages,3,21,7771.14,280.44,59.85,2022-10-29,Week,visitor
October,44,2022,44,28,0,0,Mortgages,0,NA,34.44,0,0,2022-10-29,Week,::unspecified::
October,44,2022,44,78,0,34,Mortgages,0,Inf,95.94,0,58.14,2022-10-29,Week,client
October,44,2022,44,931,27,6,Mortgages,3,22,1145.1299999999999,46.17,10.26,2022-10-29,Week,visitor
November,45,2022,45,138,0,0,Mortgages,0,NA,169.74,0,0,2022-11-05,Week,::unspecified::
November,45,2022,45,455,0,203,Mortgages,0,Inf,559.65,0,347.13,2022-11-05,Week,client
November,45,2022,45,5806,177,32,Mortgages,3,18,7141.38,302.67,54.72,2022-11-05,Week,visitor
November,46,2022,46,173,0,0,Mortgages,0,NA,212.79,0,0,2022-11-12,Week,::unspecified::
November,46,2022,46,493,0,215,Mortgages,0,Inf,606.39,0,367.65,2022-11-12,Week,client
November,46,2022,46,0,0,0,Mortgages,NA,NA,0,0,0,2022-11-12,Week,None
November,46,2022,46,5346,181,39,Mortgages,3,22,6575.58,309.51,66.69,2022-11-12,Week,visitor
November,47,2022,47,94,0,0,Mortgages,0,NA,115.62,0,0,2022-11-19,Week,::unspecified::
November,47,2022,47,490,0,191,Mortgages,0,Inf,602.7,0,326.61,2022-11-19,Week,client
November,47,2022,47,5163,179,45,Mortgages,3,25,6350.49,306.09,76.95,2022-11-19,Week,visitor
December,48,2022,48,9,0,0,Mortgages,0,NA,11.07,0,0,2022-11-26,Week,::unspecified::
December,48,2022,48,205,0,101,Mortgages,0,Inf,252.15,0,172.71,2022-11-26,Week,client
December,48,2022,48,0,0,0,Mortgages,NA,NA,0,0,0,2022-11-26,Week,None
December,48,2022,48,2294,89,19,Mortgages,4,21,2821.62,152.19,32.49,2022-11-26,Week,visitor
November,48,2022,48,4,0,0,Mortgages,0,NA,4.92,0,0,2022-11-26,Week,::unspecified::
November,48,2022,48,257,0,106,Mortgages,0,Inf,316.11,0,181.26,2022-11-26,Week,client
November,48,2022,48,2592,77,20,Mortgages,3,26,3188.16,131.67,34.2,2022-11-26,Week,visitor
December,49,2022,49,183,0,0,Mortgages,0,NA,225.09,0,0,2022-12-03,Week,::unspecified::
December,49,2022,49,528,0,228,Mortgages,0,Inf,649.4399999999999,0,389.88,2022-12-03,Week,client
December,49,2022,49,0,0,0,Mortgages,NA,NA,0,0,0,2022-12-03,Week,None
December,49,2022,49,6906,272,57,Mortgages,4,21,8494.38,465.12,97.47,2022-12-03,Week,visitor
December,50,2022,50,128,0,0,Mortgages,0,NA,157.44,0,0,2022-12-10,Week,::unspecified::
December,50,2022,50,380,0,150,Mortgages,0,Inf,467.4,0,256.5,2022-12-10,Week,client
December,50,2022,50,0,0,0,Mortgages,NA,NA,0,0,0,2022-12-10,Week,None
December,50,2022,50,4705,186,55,Mortgages,4,30,5787.15,318.06,94.05,2022-12-10,Week,visitor
December,51,2022,51,94,0,0,Mortgages,0,NA,115.62,0,0,2022-12-17,Week,::unspecified::
December,51,2022,51,281,1,122,Mortgages,0,12200,345.63,1.71,208.62,2022-12-17,Week,client
December,51,2022,51,0,0,0,Mortgages,NA,NA,0,0,0,2022-12-17,Week,None
December,51,2022,51,3742,172,49,Mortgages,5,28.000000000000004,4602.66,294.12,83.78999999999999,2022-12-17,Week,visitor
December,52,2022,52,96,0,0,Mortgages,0,NA,118.08,0,0,2022-12-24,Week,::unspecified::
December,52,2022,52,287,0,124,Mortgages,0,Inf,353.01,0,212.04,2022-12-24,Week,client
December,52,2022,52,2857,103,27,Mortgages,4,26,3514.11,176.13,46.17,2022-12-24,Week,visitor
January,00,2023,0,10,0,0,Mortgages,0,NA,NA,NA,NA,2022-12-25,Week,::unspecified::
January,00,2023,0,37,0,13,Mortgages,0,Inf,NA,NA,NA,2022-12-25,Week,client
January,00,2023,0,0,0,0,Mortgages,NA,NA,NA,NA,NA,2022-12-25,Week,None
January,00,2023,0,415,10,0,Mortgages,2,0,NA,NA,NA,2022-12-25,Week,visitor
January,01,2023,1,196,0,0,Mortgages,0,NA,NA,NA,NA,2023-01-01,Week,::unspecified::
January,01,2023,1,518,0,208,Mortgages,0,Inf,NA,NA,NA,2023-01-01,Week,client
January,01,2023,1,5391,206,74,Mortgages,4,36,NA,NA,NA,2023-01-01,Week,visitor
January,02,2023,2,209,0,0,Mortgages,0,NA,NA,NA,NA,2023-01-08,Week,::unspecified::
January,02,2023,2,594,0,229,Mortgages,0,Inf,NA,NA,NA,2023-01-08,Week,client
January,02,2023,2,6290,220,65,Mortgages,3,30,NA,NA,NA,2023-01-08,Week,visitor
January,03,2023,3,176,0,0,Mortgages,0,NA,NA,NA,NA,2023-01-15,Week,::unspecified::
January,03,2023,3,566,0,235,Mortgages,0,Inf,NA,NA,NA,2023-01-15,Week,client
January,03,2023,3,6166,173,57,Mortgages,3,33,NA,NA,NA,2023-01-15,Week,visitor
January,04,2023,4,164,0,0,Mortgages,0,NA,NA,NA,NA,2023-01-22,Week,::unspecified::
January,04,2023,4,499,0,221,Mortgages,0,Inf,NA,NA,NA,2023-01-22,Week,client
January,04,2023,4,5415,158,65,Mortgages,3,41,NA,NA,NA,2023-01-22,Week,visitor
January,05,2023,5,76,0,0,Mortgages,0,NA,NA,NA,NA,2023-01-29,Week,::unspecified::
January,05,2023,5,240,0,97,Mortgages,0,Inf,NA,NA,NA,2023-01-29,Week,client
January,05,2023,5,2310,76,20,Mortgages,3,26,NA,NA,NA,2023-01-29,Week,visitor
