Visitor or Client,Product page CvnC,Start application CvnC,Finish application CvnC,Category,con_1_CvnC,con_2_CvnC,target_con1,Date,MonthvsWeek,Sales
visitor,17894,339,82,Mortgages,1.8944897731083044,24.188790560471976,5,2023-02-06,Week,NA
client,616,398,225,Mortgages,64.6103896103896,56.53266331658291,5,2023-02-13,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-02-13,Week,NA
visitor,15607,304,64,Mortgages,1.9478439161914527,21.052631578947366,5,2023-02-13,Week,NA
client,535,381,225,Mortgages,71.21495327102804,59.055118110236215,5,2023-02-20,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-02-20,Week,NA
visitor,14847,315,68,Mortgages,2.1216407355021216,21.58730158730159,5,2023-02-20,Week,NA
client,600,453,247,Mortgages,75.5,54.52538631346579,5,2023-02-27,Week,170
None,0,0,0,Mortgages,NA,NA,5,2023-02-27,Week,NA
visitor,15387,344,78,Mortgages,2.235653473711575,22.674418604651162,5,2023-02-27,Week,11
client,639,460,261,Mortgages,71.98748043818466,56.739130434782616,5,2023-03-06,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-03-06,Week,NA
visitor,16671,353,74,Mortgages,2.1174494631395837,20.96317280453258,5,2023-03-06,Week,NA
client,486,344,230,Mortgages,70.78189300411523,66.86046511627907,5,2023-03-13,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-03-13,Week,NA
visitor,13979,234,47,Mortgages,1.6739394806495458,20.085470085470085,5,2023-03-13,Week,NA
client,521,391,185,Mortgages,75.04798464491363,47.31457800511509,5,2023-03-20,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-03-20,Week,NA
visitor,13548,300,63,Mortgages,2.2143489813994686,21,5,2023-03-20,Week,NA
client,587,424,258,Mortgages,72.23168654173764,60.84905660377359,5,2023-03-27,Week,192
None,0,0,0,Mortgages,NA,NA,5,2023-03-27,Week,NA
visitor,14819,375,83,Mortgages,2.530535123827519,22.133333333333333,5,2023-03-27,Week,17
client,495,364,205,Mortgages,73.53535353535354,56.31868131868132,5,2023-04-03,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-04-03,Week,NA
visitor,12953,285,56,Mortgages,2.2002624874546437,19.649122807017545,5,2023-04-03,Week,NA
client,593,433,253,Mortgages,73.0185497470489,58.429561200923786,5,2023-04-10,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-04-10,Week,NA
visitor,13088,395,84,Mortgages,3.018031784841076,21.265822784810126,5,2023-04-10,Week,NA
client,605,452,231,Mortgages,74.7107438016529,51.10619469026548,5,2023-04-17,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2023-04-17,Week,NA
