Calculators,Campaign page,Product page app,Product page open,Product page secured,Date,Product page target,Visitor or Client,MonthvsWeek,month,target_PP_23
29287,3418,1496,12449,206,2023-05-08,16073,total,Week,May,57923.380000000005
31883,2798,1574,13763,230,2023-05-15,16791,total,Week,May,57923.380000000005
30761,4322,1479,12084,225,2023-05-22,16631,total,Week,May,57923.380000000005
31086,4998,1645,12034,218,2023-05-29,17250,total,Week,May,57923.380000000005
32747,5540,1944,14862,192,2023-06-05,20594,total,Week,June,59778.76
29683,4799,1807,12396,222,2023-06-12,17417,total,Week,June,59778.76
29970,4771,1611,12338,185,2023-06-19,17294,total,Week,June,59778.76
28545,5401,1653,11742,196,2023-06-26,17339,total,Week,June,59778.76
30527,5364,1592,10551,206,2023-07-03,16121,total,Week,July,72823.13
31090,4787,1484,9464,205,2023-07-10,14456,total,Week,July,72823.13
39397,4709,1467,9489,194,2023-07-17,14392,total,Week,July,72823.13
37380,5182,1238,8926,185,2023-07-24,14293,total,Week,July,72823.13
1622,212,43,444,10,2023-07-31,666,total,Week,July,72823.13
0,0,630,0,85,2022-08-01,85,client,Week,August,74911.77
12871,448,NA,6126,0,2022-08-01,6574,visitor,Week,August,74911.77
0,0,1267,0,225,2022-08-08,225,client,Week,August,74911.77
31962,1015,NA,14854,0,2022-08-08,15869,visitor,Week,August,74911.77
0,0,1319,0,209,2022-08-15,209,client,Week,August,74911.77
34247,2012,NA,11941,0,2022-08-15,13953,visitor,Week,August,74911.77
0,0,1379,0,221,2022-08-22,221,client,Week,August,74911.77
32984,2018,NA,14120,0,2022-08-22,16138,visitor,Week,August,74911.77
0,0,1410,0,214,2022-08-29,214,client,Week,August,74911.77
37021,2211,NA,12496,0,2022-08-29,14707,visitor,Week,August,74911.77
0,0,1694,0,238,2022-09-05,238,client,Week,September,63583.68
37625,2292,NA,15427,0,2022-09-05,17719,visitor,Week,September,63583.68
0,0,1448,0,194,2022-09-12,194,client,Week,September,63583.68
33760,1788,NA,14081,0,2022-09-12,15869,visitor,Week,September,63583.68
0,0,1320,0,225,2022-09-19,225,client,Week,September,63583.68
32343,1686,NA,12240,0,2022-09-19,13926,visitor,Week,September,63583.68
0,0,1495,0,210,2022-09-26,210,client,Week,September,63583.68
36415,2086,NA,12899,0,2022-09-26,14985,visitor,Week,September,63583.68
0,0,1651,0,249,2022-10-03,249,client,Week,October,65932.33
42266,2711,NA,17179,0,2022-10-03,19890,visitor,Week,October,65932.33
0,0,1630,0,216,2022-10-10,216,client,Week,October,65932.33
32725,2042,NA,13572,0,2022-10-10,15614,visitor,Week,October,65932.33
0,0,1553,0,218,2022-10-17,218,client,Week,October,65932.33
36116,2032,NA,12616,0,2022-10-17,14648,visitor,Week,October,65932.33
0,0,1472,0,221,2022-10-24,221,client,Week,October,65932.33
29884,1775,NA,12388,0,2022-10-24,14163,visitor,Week,October,65932.33
0,0,1851,0,260,2022-10-31,260,client,Week,October,65932.33
34197,1658,NA,15364,0,2022-10-31,17022,visitor,Week,October,65932.33
0,0,1389,0,197,2022-11-07,197,client,Week,November,60588.75
28162,1132,NA,13430,0,2022-11-07,14562,visitor,Week,November,60588.75
0,0,1240,0,181,2022-11-14,181,client,Week,November,60588.75
32923,1644,NA,12893,0,2022-11-14,14537,visitor,Week,November,60588.75
0,0,1054,0,205,2022-11-21,205,client,Week,November,60588.75
29211,1780,NA,11356,0,2022-11-21,13136,visitor,Week,November,60588.75
0,0,1240,0,193,2022-11-28,193,client,Week,November,60588.75
25956,1494,NA,10715,0,2022-11-28,12209,visitor,Week,November,60588.75
0,0,1425,0,210,2022-12-05,210,client,Week,December,51634.990000000005
32048,3325,NA,14387,0,2022-12-05,17712,visitor,Week,December,51634.990000000005
0,0,1082,0,170,2022-12-12,170,client,Week,December,51634.990000000005
27505,2943,NA,9253,0,2022-12-12,12196,visitor,Week,December,51634.990000000005
0,0,962,0,117,2022-12-19,117,client,Week,December,51634.990000000005
23041,2780,NA,7390,0,2022-12-19,10170,visitor,Week,December,51634.990000000005
0,0,1218,0,156,2022-12-26,156,client,Week,December,51634.990000000005
27399,2603,NA,6424,0,2022-12-26,9027,visitor,Week,December,51634.990000000005
0,0,1772,0,231,2023-01-02,231,client,Week,January,52290.9
31847,1248,NA,11199,0,2023-01-02,12447,visitor,Week,January,52290.9
0,0,1758,0,258,2023-01-09,258,client,Week,January,52290.9
33155,721,NA,13338,0,2023-01-09,14059,visitor,Week,January,52290.9
0,0,1733,0,259,2023-01-16,259,client,Week,January,52290.9
32448,391,NA,12865,0,2023-01-16,13256,visitor,Week,January,52290.9
0,0,1571,0,226,2023-01-23,226,client,Week,January,52290.9
31016,351,NA,11390,0,2023-01-23,11741,visitor,Week,January,52290.9
0,0,2198,0,294,2023-01-30,294,client,Week,January,52290.9
35799,782,NA,14230,0,2023-01-30,15012,visitor,Week,January,52290.9
0,0,2305,0,317,2023-02-06,317,client,Week,February,53153.32
39507,1793,NA,18599,0,2023-02-06,20392,visitor,Week,February,53153.32
0,0,1835,0,293,2023-02-13,293,client,Week,February,53153.32
35905,2317,NA,15534,0,2023-02-13,17851,visitor,Week,February,53153.32
0,0,1805,0,235,2023-02-20,235,client,Week,February,53153.32
34850,1950,NA,15071,0,2023-02-20,17021,visitor,Week,February,53153.32
0,0,1751,0,266,2023-02-27,266,client,Week,February,53153.32
39233,2317,NA,15282,0,2023-02-27,17599,visitor,Week,February,53153.32
0,0,2018,0,269,2023-03-06,269,client,Week,March,50582.11
40985,3090,NA,15777,0,2023-03-06,18867,visitor,Week,March,50582.11
0,0,1750,0,211,2023-03-13,211,client,Week,March,50582.11
36911,2761,NA,13021,0,2023-03-13,15782,visitor,Week,March,50582.11
0,0,1538,0,218,2023-03-20,218,client,Week,March,50582.11
37834,2435,NA,12691,0,2023-03-20,15126,visitor,Week,March,50582.11
0,0,1609,0,247,2023-03-27,247,client,Week,March,50582.11
41233,3691,NA,13092,0,2023-03-27,16783,visitor,Week,March,50582.11
0,0,1479,0,202,2023-04-03,202,client,Week,April,45945.8
38447,2852,NA,11775,0,2023-04-03,14627,visitor,Week,April,45945.8
0,0,1618,0,240,2023-04-10,240,client,Week,April,45945.8
