Last Touch Marketing Channel,Product page,Start application,Finish application,Category,con_1,con_2,Date,MonthvsWeek,Visitor or Client
Referring Domains,14024,4,1,Mortgages,0.028522532800912718,25,2022-10-31,Week,total
Social Networks,2095,0,0,Mortgages,0,NA,2022-10-31,Week,total
::unspecified::,909,0,0,Mortgages,0,NA,2022-11-07,Week,total
Affiliate,254,2,0,Mortgages,0.7874015748031495,0,2022-11-07,Week,total
Direct,719493,307,122,Mortgages,0.04266893493056916,39.73941368078176,2022-11-07,Week,total
Display,8,0,0,Mortgages,0,NA,2022-11-07,Week,total
Email,4347,1,0,Mortgages,0.023004370830457786,0,2022-11-07,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-11-07,Week,total
Natural Search,203958,215,93,Mortgages,0.10541385971621609,43.25581395348837,2022-11-07,Week,total
Paid Search,14890,67,18,Mortgages,0.44996642041638685,26.865671641791046,2022-11-07,Week,total
Referring Domains,12148,8,1,Mortgages,0.0658544616397761,12.5,2022-11-07,Week,total
Social Networks,1885,0,1,Mortgages,0,Inf,2022-11-07,Week,total
::unspecified::,806,0,0,Mortgages,0,NA,2022-11-14,Week,total
Affiliate,1889,3,3,Mortgages,0.15881418740074113,100,2022-11-14,Week,total
Direct,731460,268,127,Mortgages,0.036639050665791706,47.38805970149254,2022-11-14,Week,total
Display,15,0,0,Mortgages,0,NA,2022-11-14,Week,total
Email,6701,1,0,Mortgages,0.014923145799134457,0,2022-11-14,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-11-14,Week,total
Natural Search,195463,214,97,Mortgages,0.10948363628922099,45.32710280373832,2022-11-14,Week,total
Paid Search,16811,81,19,Mortgages,0.4818273749330795,23.456790123456788,2022-11-14,Week,total
Referring Domains,12702,15,8,Mortgages,0.11809163911195086,53.333333333333336,2022-11-14,Week,total
Social Networks,2320,0,0,Mortgages,0,NA,2022-11-14,Week,total
::unspecified::,669,0,0,Mortgages,0,NA,2022-11-21,Week,total
Affiliate,2736,24,8,Mortgages,0.8771929824561403,33.33333333333333,2022-11-21,Week,total
Direct,722649,278,116,Mortgages,0.038469575132602414,41.726618705035975,2022-11-21,Week,total
Display,5,0,0,Mortgages,0,NA,2022-11-21,Week,total
Email,2278,0,0,Mortgages,0,NA,2022-11-21,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-11-21,Week,total
Natural Search,185973,241,88,Mortgages,0.12958870373656392,36.51452282157676,2022-11-21,Week,total
Paid Search,13990,58,19,Mortgages,0.4145818441744103,32.758620689655174,2022-11-21,Week,total
Referring Domains,11485,3,5,Mortgages,0.0261210274270788,166.66666666666669,2022-11-21,Week,total
Social Networks,2122,1,0,Mortgages,0.0471253534401508,0,2022-11-21,Week,total
::unspecified::,715,0,0,Mortgages,0,NA,2022-11-28,Week,total
Affiliate,3334,30,6,Mortgages,0.8998200359928014,20,2022-11-28,Week,total
Direct,753139,227,116,Mortgages,0.030140518549696668,51.10132158590308,2022-11-28,Week,total
Display,4,0,0,Mortgages,0,NA,2022-11-28,Week,total
Email,3556,0,0,Mortgages,0,NA,2022-11-28,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-11-28,Week,total
Natural Search,195672,249,109,Mortgages,0.1272537716178094,43.77510040160642,2022-11-28,Week,total
Paid Search,14575,39,10,Mortgages,0.26758147512864494,25.64102564102564,2022-11-28,Week,total
Referring Domains,12512,8,5,Mortgages,0.0639386189258312,62.5,2022-11-28,Week,total
Social Networks,215,0,0,Mortgages,0,NA,2022-11-28,Week,total
::unspecified::,711,1,0,Mortgages,0.14064697609001406,0,2022-12-05,Week,total
Affiliate,3785,53,7,Mortgages,1.4002642007926023,13.20754716981132,2022-12-05,Week,total
Direct,718271,302,154,Mortgages,0.04204541182923994,50.993377483443716,2022-12-05,Week,total
Display,4,0,0,Mortgages,0,NA,2022-12-05,Week,total
Email,1024,0,0,Mortgages,0,NA,2022-12-05,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-12-05,Week,total
Natural Search,193975,235,91,Mortgages,0.12114963268462431,38.72340425531915,2022-12-05,Week,total
Paid Search,19035,98,26,Mortgages,0.5148410822169688,26.53061224489796,2022-12-05,Week,total
Referring Domains,12467,16,7,Mortgages,0.12833881447020132,43.75,2022-12-05,Week,total
Social Networks,3670,1,0,Mortgages,0.027247956403269755,0,2022-12-05,Week,total
::unspecified::,692,0,0,Mortgages,0,NA,2022-12-12,Week,total
Affiliate,3058,24,1,Mortgages,0.7848266841072596,4.166666666666666,2022-12-12,Week,total
Direct,708172,220,102,Mortgages,0.031065899244816227,46.36363636363636,2022-12-12,Week,total
Display,7,0,0,Mortgages,0,NA,2022-12-12,Week,total
Email,5888,0,0,Mortgages,0,NA,2022-12-12,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-12-12,Week,total
Natural Search,190420,184,72,Mortgages,0.09662850540909569,39.130434782608695,2022-12-12,Week,total
Paid Search,16906,86,26,Mortgages,0.508695137820892,30.23255813953488,2022-12-12,Week,total
Referring Domains,12109,8,4,Mortgages,0.06606656206127674,50,2022-12-12,Week,total
Social Networks,1910,0,0,Mortgages,0,NA,2022-12-12,Week,total
::unspecified::,590,0,0,Mortgages,0,NA,2022-12-19,Week,total
