;May/22;Jun/22;Jul/22;Aug/22;Sep/22;Oct/22;Nov/22;Dec/22;Jan/23;Feb/23;Mar/23;Apr/23;
ingdirect:home-loans:calculators:repaymnets;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:home-loans:calculators:where-can-i-buy;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:home-loans:calculators:split-loan;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home-loans:calculators:extra%20loan%20repayments;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home-loans:calculators:extra-loans-repayments.hdml;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home-loans:calculators:split-loan:help and support:activation;0;0;0;0;0;0;0;1;0;3;0;0;
ingdirect:home-loans:calculators:lump-sum:help and support:activation;0;0;0;0;0;0;0;1;0;2;0;0;
ingdirect:home-loans:calculators:borrowing-power:ing health insurance;0;0;0;0;0;0;0;1;0;1;0;0;
ingdirect:home-loans:calculators:extra-loan%20repayments;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:repayments.html;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:smsf;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:ing travel insurance;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:home loans;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:credit cards;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:ing car insurance;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:superannuation;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:ing home and contents insurance;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:ing motorcycle insurance;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repatments;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:credit cards;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:extras-loan-repayments;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:ing health insurance;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans.:calculators:extra-loan-repayments;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:business savings;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:everyday banking;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:commercial loans;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:extra-loan-repayments-html;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:personal loans;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:extra-lian-repayments;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:superannuation;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:ing motorcycle insurance;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:ing travel insurance;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:extras-loans-repayments;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:offset:personal savings;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:personal loans;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:smsf;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:insurance;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:insurance;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:commercial loans;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:personal savings;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:ing home and contents insurance;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:repayments:ing pet insurance;0;0;0;0;0;0;0;1;0;0;0;0;
ingdirect:home-loans:calculators:stamp-duty:help and support:activation;0;0;0;0;0;0;0;0;1;0;1;0;
ingdirect:home-loans:calculators:buying-cost:help and support:activation;0;0;0;0;0;0;0;0;1;0;1;0;
ingdirect:home-loans:calculators:offset:help and support:search list;0;0;0;0;0;0;0;0;1;0;0;0;
ingdirect:home-loans:calculators:repayments:loan-comparison.html;0;0;0;0;0;0;0;0;1;0;0;0;
ingdirect:home-loans:calculators:ext;0;0;0;0;0;0;0;0;1;0;0;0;
ingdirect:home-loans:calculators:split-loan:help and support:faq detail;0;0;0;0;0;0;0;0;0;2;0;0;
ingdirect:home-loans:calculators:borrowing-power%7Bignore%7D;0;0;0;0;0;0;0;0;0;2;0;0;
ingdirect:home-loans:calculators:mortgage;0;0;0;0;0;0;0;0;0;1;0;0;
ingdirect:home-loans:calculators:mortgagecalculator;0;0;0;0;0;0;0;0;0;1;0;0;
ingdirect:home-loanslvr%20calculator;0;0;0;0;0;0;0;0;0;0;1;0;
ingdirect:home-loans:calculators:where-can-i-buy499;0;0;0;0;0;0;0;0;0;0;1;0;
ingdirect:home-loans:calculators:borrowing-power@;0;0;0;0;0;0;0;0;0;0;1;0;
ingdirect:home-loans:calculators:extra-loan-repayments.htm;0;0;0;0;0;0;0;0;0;0;1;0;
ingdirect:home-loans:calculators:extra-loanab-repayments;0;0;0;0;0;0;0;0;0;0;1;0;
ingdirect:home-loans:calculators:eqtgageuity-calculator;0;0;0;0;0;0;0;0;0;0;1;0;
ingdirect:home-loans:calculators:lumpsum;0;0;0;0;0;0;0;0;0;0;0;1;
ingdirect:home-loans:calculators:refinance:general;0;0;0;0;0;0;0;0;0;0;0;1;
ingdirect:home-loans:calculators:lump-repayments;0;0;0;0;0;0;0;0;0;0;0;1;
ingdirect:home-loans:calculators:refinance:interest rates;0;0;0;0;0;0;0;0;0;0;0;1;
ingdirect:home-loans:calculators:comparison-rate-calculator;0;0;0;0;0;0;0;0;0;0;0;1;
ingdirect:home-loans:calculators:repaymets;0;0;0;0;0;0;0;0;0;0;0;1;
ingdirect:home-loans:calculators:repasell%20macbookyments;0;0;0;0;0;0;0;0;0;0;0;1;
ingdirect:home-loans:calculators:repaymentshttps:::www.ing.com.au:home-loans:calculators:repayments.;0;0;0;0;0;0;0;0;0;0;0;1;
