# hph1 = homepage 1
##############################################
,HL app intro,HL app complete,Visits
Internal Banner Tracking,492,93,52521
vis:hph1:cathl:3kcashback,98,28,453
cli:product:hml:bp,67,20,217
vis:mainbann:seg:refinance,53,6,260
vis:tools:seg:refinance,43,8,548
vis:hlpp:table:hleru,25,1,224
vis:mainbann:seg:fhbc,21,5,68
vis:tools:seg:fhbc,16,3,96
vis:spclt:seg:refinance,16,2,177
app:inbound:hmpgmirror:unicaupgrade,13,1,1614
vis:artcl:seg:refinance,12,1,137
vis:spclt:seg:direct,12,1,20
vis:product:bnnr:hlthins,10,4,2844
231ef.1793.366ba8cf.ffffffff9fb0e9df,9,2,26
3204c.2848.fffffffff1eea965.33c83915,8,2,1861
vis:hph2:rdsgn2020:personalloan,7,0,90
2316e.954.ffffffff88c94d7b.1a7c20bb,6,0,71
vis:start:seg:fhbc,6,0,11
2316e.954.ffffffffd490aeda.ffffffff8993d5c2,5,1,65
231f0.1793.366ba8cf.ffffffff9fb0e9df,5,1,18
vis:tools:seg:invest,5,0,93
2315c.1b35.17e4f254.ffffffff8d1aa504,4,0,85
2316c.952.ffffffffd490aeda.ffffffff8993d5c2,3,1,94
2316e.10ba.ffffffff9592e5b8.30133ef0,3,1,37
vis:hmpg:cathlthins:hlthins,3,0,2722
2316e.954.ffffffffcc8b2e56.ffffffff898f93de,3,0,26


#=================================================================
# App start rate from key visitor site pages
# Report suite: ING Direct Production Report Suite
"# Date: Jan 1, 2022 - Jan 30, 2023"
# This tracks the % of visits that arrive on a particular page and then hit the home loan app start form.
# This is a good metric to measure the effectiveness of a particular page in starting a home loan
#=================================================================


##############################################
# From home-loans
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/home-loans,402101,,1
HL app intro,17917,0.955441543293849,0.04455845670615094


##############################################
# Segment page - refinance
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/refinance,26928,,1
HL app intro,2337,0.9132130124777184,0.08678698752228164


##############################################
# From Orange Advantage
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/orange-advantage,98776,,1
HL app intro,3081,0.9688082125212603,0.031191787478739776


##############################################
# Segment page - First home buyers
##############################################
,All Visits,,
,Visits,Fallout,Fall through
ing.com.au/first-home-buyers,5951,,1
HL app intro,514,0.9136279616871115,0.08637203831288859


##############################################
# From Mortgage Simplifier
##############################################
,All Visits,,
