Calculators,Campaign page,Product page app,Product page open,Product page secured,Date,Product page target,Visitor or Client,MonthvsWeek,month,target_PP_23
22405,723,NA,9372,0,2022-05-23,10095,visitor,Week,May,67625.07
0,0,4,0,197,2022-05-30,197,client,Week,May,67625.07
25947,981,NA,9203,0,2022-05-30,10184,visitor,Week,May,67625.07
0,0,1815,0,304,2022-06-06,304,client,Week,June,68897.3
31836,1519,NA,19464,0,2022-06-06,20983,visitor,Week,June,68897.3
0,0,2095,0,241,2022-06-13,241,client,Week,June,68897.3
27058,1286,NA,12289,0,2022-06-13,13575,visitor,Week,June,68897.3
0,0,1337,0,198,2022-06-20,198,client,Week,June,68897.3
27504,1477,NA,12244,0,2022-06-20,13721,visitor,Week,June,68897.3
0,0,1264,0,214,2022-06-27,214,client,Week,June,68897.3
25900,1731,NA,12569,0,2022-06-27,14300,visitor,Week,June,68897.3
0,0,1695,0,294,2022-07-04,294,client,Week,July,83251.35
34820,2525,NA,18330,0,2022-07-04,20855,visitor,Week,July,83251.35
0,0,1346,0,218,2022-07-11,218,client,Week,July,83251.35
28908,1320,NA,12737,0,2022-07-11,14057,visitor,Week,July,83251.35
0,0,1313,0,221,2022-07-18,221,client,Week,July,83251.35
31794,1143,NA,13983,0,2022-07-18,15126,visitor,Week,July,83251.35
0,0,1538,0,265,2022-07-25,265,client,Week,July,83251.35
34259,1107,NA,19532,0,2022-07-25,20639,visitor,Week,July,83251.35
0,0,1945,0,271,2022-08-01,271,client,Week,August,84999.73000000001
40218,1439,NA,23533,0,2022-08-01,24972,visitor,Week,August,84999.73000000001
0,0,1267,0,225,2022-08-08,225,client,Week,August,84999.73000000001
31962,1015,NA,14854,0,2022-08-08,15869,visitor,Week,August,84999.73000000001
0,0,1319,0,209,2022-08-15,209,client,Week,August,84999.73000000001
34247,2012,NA,11941,0,2022-08-15,13953,visitor,Week,August,84999.73000000001
0,0,1379,0,221,2022-08-22,221,client,Week,August,84999.73000000001
32984,2018,NA,14120,0,2022-08-22,16138,visitor,Week,August,84999.73000000001
0,0,1410,0,214,2022-08-29,214,client,Week,August,84999.73000000001
37021,2211,NA,12496,0,2022-08-29,14707,visitor,Week,August,84999.73000000001
0,0,1694,0,238,2022-09-05,238,client,Week,September,72411.18000000001
37625,2292,NA,15427,0,2022-09-05,17719,visitor,Week,September,72411.18000000001
0,0,1448,0,194,2022-09-12,194,client,Week,September,72411.18000000001
33760,1788,NA,14081,0,2022-09-12,15869,visitor,Week,September,72411.18000000001
0,0,1320,0,225,2022-09-19,225,client,Week,September,72411.18000000001
32343,1686,NA,12240,0,2022-09-19,13926,visitor,Week,September,72411.18000000001
0,0,1495,0,210,2022-09-26,210,client,Week,September,72411.18000000001
36415,2086,NA,12899,0,2022-09-26,14985,visitor,Week,September,72411.18000000001
0,0,1651,0,249,2022-10-03,249,client,Week,October,75429.65000000001
42266,2711,NA,17179,0,2022-10-03,19890,visitor,Week,October,75429.65000000001
0,0,1630,0,216,2022-10-10,216,client,Week,October,75429.65000000001
32725,2042,NA,13572,0,2022-10-10,15614,visitor,Week,October,75429.65000000001
0,0,1553,0,218,2022-10-17,218,client,Week,October,75429.65000000001
36116,2032,NA,12616,0,2022-10-17,14648,visitor,Week,October,75429.65000000001
0,0,1472,0,221,2022-10-24,221,client,Week,October,75429.65000000001
29884,1775,NA,12388,0,2022-10-24,14163,visitor,Week,October,75429.65000000001
0,0,1851,0,260,2022-10-31,260,client,Week,October,75429.65000000001
34197,1658,NA,15364,0,2022-10-31,17022,visitor,Week,October,75429.65000000001
0,0,1389,0,197,2022-11-07,197,client,Week,November,68661.90000000001
28162,1132,NA,13430,0,2022-11-07,14562,visitor,Week,November,68661.90000000001
0,0,1240,0,181,2022-11-14,181,client,Week,November,68661.90000000001
32923,1644,NA,12893,0,2022-11-14,14537,visitor,Week,November,68661.90000000001
0,0,1054,0,205,2022-11-21,205,client,Week,November,68661.90000000001
29211,1780,NA,11356,0,2022-11-21,13136,visitor,Week,November,68661.90000000001
0,0,1240,0,193,2022-11-28,193,client,Week,November,68661.90000000001
25956,1494,NA,10715,0,2022-11-28,12209,visitor,Week,November,68661.90000000001
0,0,1425,0,210,2022-12-05,210,client,Week,December,58776.170000000006
32048,3325,NA,14387,0,2022-12-05,17712,visitor,Week,December,58776.170000000006
0,0,1082,0,170,2022-12-12,170,client,Week,December,58776.170000000006
