Visitor or Client,Product page,Start application,Finish application,Category,con_1,con_2,target_con1,Date,MonthvsWeek,Sales
total,5359,425,202,Mortgages,7.9305840641910805,47.529411764705884,5,2022-04-11,Week,NA
total,5734,495,237,Mortgages,8.632717125915592,47.878787878787875,5,2022-04-18,Week,NA
total,8055,547,272,Mortgages,6.790813159528243,49.725776965265084,5,2022-04-25,Week,NA
total,12569,707,239,Mortgages,5.624950274484844,33.80480905233381,5,2022-05-02,Week,NA
total,6597,519,191,Mortgages,7.867212369258754,36.80154142581888,5,2022-05-09,Week,NA
total,5875,425,211,Mortgages,7.234042553191489,49.64705882352941,5,2022-05-16,Week,NA
total,5405,403,211,Mortgages,7.456059204440334,52.357320099255574,5,2022-05-23,Week,NA
total,5402,483,252,Mortgages,8.941132913735654,52.17391304347826,5,2022-05-30,Week,NA
total,10298,509,190,Mortgages,4.94270732181006,37.32809430255403,5,2022-06-06,Week,NA
total,6896,385,160,Mortgages,5.582946635730859,41.55844155844156,5,2022-06-13,Week,NA
total,6670,464,227,Mortgages,6.956521739130435,48.922413793103445,5,2022-06-20,Week,NA
total,7216,510,240,Mortgages,7.067627494456763,47.05882352941176,5,2022-06-27,Week,NA
total,10317,608,261,Mortgages,5.893186003683241,42.92763157894737,5,2022-07-04,Week,NA
total,6894,451,220,Mortgages,6.541920510588918,48.78048780487805,5,2022-07-11,Week,NA
total,7095,519,218,Mortgages,7.3150105708245245,42.00385356454721,5,2022-07-18,Week,NA
total,8245,786,361,Mortgages,9.533050333535476,45.92875318066158,5,2022-07-25,Week,NA
total,10710,866,443,Mortgages,8.085901027077497,51.15473441108544,5,2022-08-01,Week,NA
total,7292,563,285,Mortgages,7.720789906747121,50.62166962699822,5,2022-08-08,Week,NA
total,6372,515,253,Mortgages,8.082234777150031,49.12621359223301,5,2022-08-15,Week,NA
total,7073,622,336,Mortgages,8.794005372543475,54.019292604501615,5,2022-08-22,Week,NA
total,6421,581,274,Mortgages,9.048434823236256,47.16006884681583,5,2022-08-29,Week,NA
total,8004,616,327,Mortgages,7.696151924037981,53.08441558441559,5,2022-09-05,Week,NA
total,6761,514,248,Mortgages,7.602425676675048,48.249027237354085,5,2022-09-12,Week,NA
total,6191,457,238,Mortgages,7.3816830883540625,52.078774617067836,5,2022-09-19,Week,NA
total,7110,519,270,Mortgages,7.29957805907173,52.02312138728323,5,2022-09-26,Week,NA
total,8663,656,296,Mortgages,7.572434491515641,45.1219512195122,5,2022-10-03,Week,NA
total,7075,505,259,Mortgages,7.137809187279152,51.28712871287129,5,2022-10-10,Week,NA
total,6743,575,300,Mortgages,8.52736170843838,52.17391304347826,5,2022-10-17,Week,NA
total,6775,490,239,Mortgages,7.232472324723248,48.775510204081634,5,2022-10-24,Week,NA
total,8007,577,287,Mortgages,7.206194579742725,49.74003466204506,5,2022-10-31,Week,NA
total,6399,522,235,Mortgages,8.157524613220815,45.01915708812261,5,2022-11-07,Week,NA
total,6012,534,254,Mortgages,8.882235528942116,47.565543071161045,5,2022-11-14,Week,20
total,5747,536,236,Mortgages,9.326605185314078,44.02985074626866,5,2022-11-21,Week,39
total,5361,493,246,Mortgages,9.196045513896662,49.89858012170386,5,2022-11-28,Week,62
total,7617,642,285,Mortgages,8.428515163450177,44.39252336448598,5,2022-12-05,Week,54
total,5213,462,205,Mortgages,8.862459236524074,44.37229437229438,5,2022-12-12,Week,70
total,4117,369,171,Mortgages,8.962837017245567,46.34146341463415,5,2022-12-19,Week,59
total,3240,296,151,Mortgages,9.135802469135802,51.01351351351351,5,2022-12-26,Week,11
total,462,31,13,Mortgages,6.70995670995671,41.935483870967744,5,2022-12-26,Week,11
total,6105,560,282,Mortgages,9.172809172809172,50.357142857142854,5,2023-01-02,Week,24
total,7093,632,294,Mortgages,8.910193148174256,46.51898734177215,5,2023-01-09,Week,35
total,6908,565,292,Mortgages,8.178922987840185,51.681415929203546,5,2023-01-16,Week,59
total,6078,528,286,Mortgages,8.687068114511352,54.166666666666664,5,2023-01-23,Week,43
total,7733,673,362,Mortgages,8.702961334540282,53.789004457652304,5,2023-01-30,Week,44
total,9775,679,347,Mortgages,6.946291560102303,51.104565537555224,5,2023-02-06,Week,63
total,8357,615,300,Mortgages,7.359100155558215,48.78048780487805,5,2023-02-13,Week,3
total,8183,628,304,Mortgages,7.6744470243187095,48.40764331210191,5,2023-02-20,Week,NA
total,2862,259,111,Mortgages,9.049615653389239,42.857142857142854,5,2023-02-27,Week,NA
total,29279,3472,1416,Mortgages,11.858328494825642,40.78341013824885,5,2022-03-01,Month,NA
total,27440,2035,983,Mortgages,7.416180758017493,48.304668304668304,5,2022-04-01,Month,NA
total,33158,2320,1002,Mortgages,6.996803184751794,43.189655172413794,5,2022-05-01,Month,NA
total,31513,1947,861,Mortgages,6.178402564021197,44.22187981510015,5,2022-06-01,Month,NA
total,35651,2575,1162,Mortgages,7.222798799472666,45.126213592233015,5,2022-07-01,Month,NA
total,34757,2871,1452,Mortgages,8.260206577092385,50.57471264367817,5,2022-08-01,Month,NA
total,29762,2259,1153,Mortgages,7.590215711309724,51.040283311199644,5,2022-09-01,Month,NA
total,31717,2437,1203,Mortgages,7.6835766308288935,49.36397209684038,5,2022-10-01,Month,NA
total,27982,2343,1098,Mortgages,8.373239939961403,46.86299615877081,5,2022-11-01,Month,98
total,22695,2000,932,Mortgages,8.812513769552766,46.6,5,2022-12-01,Month,217
total,29272,2557,1284,Mortgages,8.735310194042087,50.21509581540868,5,2023-01-01,Month,181
total,34285,2613,1307,Mortgages,7.62140877934957,50.01913509376196,5,2023-02-01,Month,90
